activityID,operationID,operationName,description,fringe,corridor,hub,border,ratio,caldariStationTypeID,minmatarStationTypeID,amarrStationTypeID,gallenteStationTypeID,joveStationTypeID
13,43,Archives,Stores administrative documents and data.,0.7,0.3,0,0,0.3,1529,2500,1931,57,3865
13,44,Information Center,Distributes administrative information to the public.,0,0,0.5,0.5,0.3,3872,2502,1926,57,3865
20,45,Manufacturing,,0,0,0,0,0,,,,,
20,46,Refining,,0,0,0,0,0,,,,,
20,47,Cloning,,0,0,0,0,0,,,,,
20,48,Caldari Research Outpost,,0,0,0,0,0,,,,,
20,49,Amarr Factory Outpost,,0,0,0,0,0,,,,,
20,50,Gallente Administrative Outpost,,0,0,0,0,0,,,,,
20,51,Minmatar Service Outpost,,0,0,0,0,0,,,,,
7,52,Applied Gravitation Laboratory,"This station houses the Sanctuary’s cutting-edge graviton physics research facility. Approaching vessels are advised to carefully follow all instructions from traffic controllers, as potentially hazardous spatial distortions may be present in the immediate vicinity.

It is widely assumed that this laboratory’s previous breakthroughs are responsible for the advanced cloaking capabilities of the Astero and Stratios class vessels. Access to the laboratory and administrative levels are restricted and all capsuleer guests are confined to their quarters without exception.",0,0,0,0,0,,,,,
7,53,Institute of Paleocybernetics,"Tasked with investigating ancient yet still functioning artificial intelligence systems, this station is home to the Sanctuary’s foremost experts in the behavior and anatomy of the enigmatic Sleeper drones.

Unconfirmed reports leaked in YC116 suggest that researchers at this institute may have succeeded in what was once considered unachievable: capturing and containing operational Sleeper drone subjects. The vast majority of the station is accessible only to authorized Sanctuary personnel, and a heavy security presence discourages snooping.",0,0,0,0,0,,,,,
7,54,Surveillance Observatory,"The advanced omni-spectral sensor arrays equipped to this station enable detailed observation and tracking of the Sleeper activity anywhere in this massive star system.

This facility also serves as the central processing location for data fed from gravitational field sensors fitted to each of the Sanctuary stations spread across Thera. This infrastructure allows rapid trilateration of nearby irregularities in space-time, whether they are detectable through normal scanner probes or not.",0,0,0,0,0,,,,,
7,55,Fullerene Loom,"This station contains equipment dedicated to the delicate task of processing and manipulating fullerene-rich gases and their byproducts. The resulting polymers are used in multiple applications throughout Thera, enabling continued expansion and maintenance of the Sanctuary’s expedition.

Capsuleer guests at the stations are welcome within clearly designated zones, however use of the hybrid reaction lines is restricted to authorized Sanctuary personnel only.",0,0,0,0,0,,,,,
7,106,Bioadaptation Chambers,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  This station has been turned into a facility focused on bioadaptation of lifeforms to a variety of environmental conditions. The numerous chambers devoted to this purpose are used to adapt both Triglavians and non-Triglavians, depending on their needs and the environmental adjustments necessary.",0,0,0,0,0,,,,,
7,109,Extractive Terminus,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  The clade that seized this station saw fit to convert it to a terminus for the resource extraction operations being carried out across its Krai. The vast processing operations are evidently also receiving deliveries from resource harvesting and raids taking place in Known Space systems of continued interest to the Triglavians.",0,0,0,0,0,,,,,
7,110,Proving Complex,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  This station has been transformed into a facility devoted to the various forms of ""proving"" being undertaken by the controlling clade and its subclades. These procedures appear to be a complex mix of testing, ritual and philosophical discourse: a form of concrete dialectics aimed at determining the worth of individuals, groups, theories, ideologies, technology, social practices and more besides.",0,0,0,0,0,,,,,
7,111,Semiosis Theater,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  The controlling clade has turned this station into a facility that seems to be a combination of communications hub, data processing complex and diplomatic venue. It may be a specialized class of proving center focusing on the semiotic aspects of the profoundly dialectical way of thinking and acting that dominates Triglavian culture.",0,0,0,0,0,,,,,
7,112,Mutaplasmid Farm,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  This station has been significantly transformed by the occupying clade's decision to use it as a facility dedicated to farming mutaplasmids of all kinds. Many of the internal spaces are now seething caverns filled with the bizarre semi-biological, semi-artificial form of evolutionary nanotechnology used by the Triglavians to develop and adapt technology.",0,0,0,0,0,,,,,
7,113,Porevitium Vault,"Triglavian occupation of a space station typically involves converting much of its interior from its former purpose, the Clades apparently being inclined to use the seized station for their own ends rather than destroy a useful asset.  Security within this station is extremely high and the controlling clade is even less tolerant than usual when it comes to perceived infractions and violations by residents or visitors. The core of the station is totally sealed off to all but the elite troikas of the clade and is apparently being used as a storage facility for a surplus of the most valuable resources obtained by Triglavian harvesting operations.",0,0,0,0,0,,,,,
14,114,Halls of Liberation,"The Halls of Liberation station is a unique facility dedicated to remembering the sacrifices of the Minmatar people during the Great Rebellion. Built in YC123, following the inaugural Liberation Games marking the Great Rebellion, the station is formally neutral territory in terms of the Seven Tribes of Matar, but each year it is operated by the last Minmatar Tribe to win the Liberation Games.

The Halls of Liberation contains many memorial chambers and shrines to the memory of the heroes of the Great Rebellion. A large museum contains sections for each tribe, for the civilization of the old Minmatar Empire, and for the new Tribal Republic of the Minmatar. Positioned above the home planet of Matar, the station is the first in orbit to open for capsuleer traffic and many Minmatar corporations maintain a presence, together with various agencies of the Republic government.",0,0,0,0,0,,,,,
5,118,Anchorage,,0,0,0,0,0,1529,,,56,
12,119,Fulfillment Center,,0,0,0,0,0,,,,,
14,120,Bureau (Damaged),This Minmatar Republic Parliament Bureau station has been severely damaged by an extreme stellar event due to the close vicinity of the planet it orbits to the central star. The station remains operational in terms of basic functions but has been seriously impaired by a massive radiation burst that overwhelmed the formidable shielding of the structure and came close to reducing the bureau to a lifeless wreck.,0,0,0,0,0,,2502,,,
14,121,- The Fulcrum,"The Fulcrum is the ancient Jovian outpost at the heart of Zarzakh from which the Deathless Circle projects its power and exerts the will of its enigmatic leader. Properly speaking, the Fulcrum is that part of the ancient Jovian structure occupied and made active by the forces of the Deathless Circle and their pirate allies. The name has come to be applied more generally to the vast megastructure the Jove left behind when they abandoned their old home and the core regions of New Eden generally.

The dark and echoing vaults and depths of the Fulcrum are a testament to how long the Jove made use of this outpost, which evidently functioned as some combination of space-based colony, research facility, and waystation. Amidst the ruinous gaps left when the station was abandoned by the Jove there are pockets where intact chambers and banks of strange devices remain. While much is no longer in place, the outpost retains a significant amount of its city-scale infrastructure and large sections remain unexplored, and potentially filled with opportunities and hazards alike.",0,0,0,0,0,,,,,78334
